,District,Latitude,Longitude,Distance
0,Spinningfields,53.48068,-2.25242,272
1,Shopping District,53.48216,-2.24574,347
2,Manchester Central,53.4772,-2.24447,389
3,China Town,53.47888,-2.23971,603
4,Castlefield,53.47648,-2.25666,629
5,Deansgate Locks,53.47318,-2.25104,730
6,Blackfriars,53.48701,-2.25042,831
7,The Gay Village,53.47787,-2.23649,833
8,Victoria,53.48691,-2.23925,1027
9,Northern Quarter,53.48317,-2.23301,1114
10,Greenquarter,53.49019,-2.24016,1307
11,Hulme,53.46724,-2.24973,1376
12,Ancoats,53.48579,-2.23054,1387
13,Piccadilly,53.47795,-2.22717,1439
14,University District,53.46633,-2.23549,1716
15,New Islington,53.4824,-2.2224,1771
16,Manchester Science Park,53.46511,-2.23703,1788
17,Ordsall,53.4728,-2.27448,1864
18,Cheetham Hill,53.4973,-2.24177,2021
19,Ardwick,53.46932,-2.22262,2072
20,Pendleton,53.48686,-2.28174,2328
21,Collyhurst,53.49499,-2.22361,2386
23,Moss Side,53.45746,-2.25237,2474
24,Broughton,53.50211,-2.26482,2720
26,Salford Quays,53.47067,-2.29065,2946
27,Salford,53.4922,-2.28833,2971
28,Miles Platting,53.49535,-2.21199,2996
29,Beswick,53.47816,-2.20323,3016
30,Whalley Range,53.45221,-2.25753,3101
31,The Curry Mile,53.45489,-2.22426,3190
32,Firswood,53.45288,-2.27333,3388
33,MediaCityUK,53.47357,-2.29923,3408
34,Sportcity,53.48674,-2.19771,3469
35,Rusholme,53.45226,-2.22253,3500
36,Old Trafford,53.45845,-2.29143,3676
37,Longsight,53.45698,-2.20051,4064
38,Trafford Park,53.46813,-2.30837,4147
39,Crumpsall,53.51659,-2.23643,4193
40,Clayton,53.48324,-2.18383,4314
41,Harpurhey,53.51261,-2.21398,4331
42,Fallowfield,53.4429,-2.22224,4442
43,Chorlton,53.44253,-2.27656,4515
45,Openshaw,53.47344,-2.18094,4539
46,Blackley,53.51749,-2.20448,5130
47,Withington,53.43461,-2.22786,5190
48,Newton Heath,53.50307,-2.18049,5215
49,Moston,53.51386,-2.19433,5241
50,Levenshulme,53.44485,-2.19159,5408
51,Gorton,53.46111,-2.17306,5415
52,Ladybarn,53.43465,-2.21248,5545
53,Stretford,53.44571,-2.31382,5724
54,Eccles,53.48342,-2.34134,6142
55,Abbey Hey,53.46867,-2.15607,6252
56,Charlestown,53.52372,-2.18969,6271
57,Higher Blackley,53.53208,-2.20708,6453
58,Prestwich,53.53344,-2.28575,6468
59,Failsworth,53.50846,-2.16337,6495
60,intu Trafford Centre,53.46229,-2.34636,6742
61,New Moston,53.51665,-2.16799,6745
62,Burnage,53.42136,-2.21728,6803
63,Droylsden,53.47969,-2.14553,6830
64,Swinton,53.51151,-2.33895,6942
65,Didsbury,53.41755,-2.23158,6993
66,Heaton Chapel,53.42867,-2.17563,7450
67,Reddish,53.43813,-2.15969,7485
68,Sale,53.42552,-2.3164,7499
69,Urmston,53.44681,-2.35283,7796
70,Audenshaw,53.47124,-2.12918,7967
71,Heaton Mersey,53.41342,-2.19964,8045
72,Northenden,53.40715,-2.25935,8087
73,East Didsbury,53.40698,-2.22534,8222
74,Wythenshawe,53.40769,-2.28299,8312
75,Brooklands,53.41766,-2.32203,8426
76,Middleton,53.55043,-2.19738,8577
77,Daisy Nook,53.50117,-2.12387,8602
78,Whitefield,53.55228,-2.29648,8676
79,Sharston Industrial Area,53.39997,-2.25509,8864
80,Worsley,53.50055,-2.38097,9053
81,Unsworth,53.56088,-2.27819,9245
82,Baguley,53.39909,-2.28561,9279
83,Denton,53.45601,-2.11368,9317
84,Hawksley Industrial Estate,53.529,-2.1344,9346
85,Gatley,53.39264,-2.23507,9712
86,Birch,53.56602,-2.22444,9743
87,Bardsley,53.51446,-2.10784,10094
