Neighbourhood,Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
Berczy Park,6,0,48,8,14,2,0,15,7
"Brockton, Parkdale Village, Exhibition Place",8,0,51,11,8,2,0,19,1
"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",0,0,26,5,9,0,0,9,0
"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",1,0,4,0,8,0,0,0,2
Central Bay Street,9,1,53,8,5,1,0,18,5
Christie,4,0,61,11,5,1,0,16,2
Church and Wellesley,4,0,59,5,6,2,0,20,4
"Commerce Court, Victoria Hotel",15,0,47,3,10,1,0,15,9
Davisville,2,0,65,7,8,0,0,16,2
Davisville North,3,0,61,4,10,0,0,21,1
"Dufferin, Dovercourt Village",2,0,33,5,10,0,0,17,1
"First Canadian Place, Underground city",16,0,46,3,10,1,0,14,10
"Forest Hill North & West, Forest Hill Road Park",0,0,29,0,13,0,0,8,1
"Garden District, Ryerson",11,0,60,4,8,1,0,12,4
"Harbourfront East, Union Station, Toronto Islands",12,0,44,9,16,2,0,7,10
"High Park, The Junction South",2,0,54,8,7,0,1,26,2
"India Bazaar, The Beaches West",2,0,44,4,14,0,0,15,0
"Kensington Market, Chinatown, Grange Park",6,1,55,11,4,1,0,21,1
Lawrence Park,0,2,2,0,3,0,0,1,0
"Little Portugal, Trinity",2,0,51,17,6,1,0,22,1
"Moore Park, Summerhill East",0,0,36,1,13,2,0,9,0
"North Toronto West, Lawrence Park",1,0,24,1,8,0,0,11,0
"Parkdale, Roncesvalles",6,0,45,11,13,1,0,23,1
"Queen's Park, Ontario Provincial Government",6,1,61,5,5,2,0,17,3
"Regent Park, Harbourfront",8,0,55,6,11,3,0,15,2
"Richmond, Adelaide, King",15,0,47,4,11,1,0,13,9
Rosedale,0,0,11,0,4,0,0,5,2
Roselawn,1,0,14,0,3,0,0,5,0
"Runnymede, Swansea",2,0,49,4,7,1,0,12,1
St. James Town,11,0,53,6,8,2,0,15,5
"St. James Town, Cabbagetown",3,0,22,1,6,0,0,3,0
Stn A PO Boxes,7,0,43,6,14,2,0,19,9
Studio District,1,0,60,14,9,1,0,14,1
"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",0,0,45,2,13,1,0,12,2
"The Annex, North Midtown, Yorkville",10,1,56,5,9,3,0,15,1
The Beaches,2,0,44,7,9,0,0,18,1
"The Danforth West, Riverdale",2,0,57,10,8,0,0,21,2
"Toronto Dominion Centre, Design Exchange",17,0,38,3,13,2,0,15,12
"University of Toronto, Harbord",7,3,58,9,2,2,0,17,2
