Neighbourhood,Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Shop & Service,Travel & Transport
Berczy Park,5,0,28,7,3,0,15,1
"Brockton, Parkdale Village, Exhibition Place",2,0,12,2,3,0,4,1
"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",0,0,4,1,3,0,5,1
"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",0,0,1,1,2,0,1,10
Central Bay Street,1,0,47,1,4,1,6,0
Christie,0,0,6,1,3,0,6,0
Church and Wellesley,3,0,47,8,7,1,10,2
"Commerce Court, Victoria Hotel",4,0,65,10,5,2,6,8
Davisville,1,0,23,1,3,0,5,0
Davisville North,0,0,2,0,1,0,2,1
"Dufferin, Dovercourt Village",1,0,4,2,2,0,5,0
"First Canadian Place, Underground city",7,0,63,11,7,1,5,6
"Forest Hill North & West, Forest Hill Road Park",0,0,2,0,1,0,1,0
"Garden District, Ryerson",6,1,49,5,3,2,29,5
"Harbourfront East, Union Station, Toronto Islands",11,0,49,10,15,2,6,7
"High Park, The Junction South",1,0,13,2,1,0,7,0
"India Bazaar, The Beaches West",1,0,12,2,3,0,3,0
"Kensington Market, Chinatown, Grange Park",1,0,37,7,2,1,15,1
Lawrence Park,0,0,0,0,1,1,1,1
"Little Portugal, Trinity",2,0,23,9,2,0,6,0
"Moore Park, Summerhill East",0,0,0,0,1,0,0,0
"North Toronto West, Lawrence Park",0,0,9,0,2,0,7,0
"Parkdale, Roncesvalles",1,0,8,1,1,0,3,0
"Queen's Park, Ontario Provincial Government",2,1,18,2,4,1,2,0
"Regent Park, Harbourfront",5,0,21,3,5,2,9,1
"Richmond, Adelaide, King",7,0,62,5,6,1,11,3
Rosedale,0,0,0,0,4,0,0,0
Roselawn,1,0,0,0,2,0,0,0
"Runnymede, Swansea",1,0,26,3,2,0,8,0
St. James Town,5,0,45,5,5,0,19,2
"St. James Town, Cabbagetown",1,0,26,2,4,0,12,0
Stn A PO Boxes,7,0,53,10,6,1,19,3
Studio District,0,0,19,4,4,1,8,0
"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",0,0,9,1,0,0,3,1
"The Annex, North Midtown, Yorkville",1,0,15,1,1,0,5,0
The Beaches,0,0,0,1,2,0,1,0
"The Danforth West, Riverdale",0,0,30,3,2,0,8,0
"Toronto Dominion Centre, Design Exchange",8,0,62,6,5,0,9,10
"University of Toronto, Harbord",1,2,18,4,1,0,5,0
